0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:22 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:23 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:23 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:23 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:23 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:23 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:33:23 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:34:44 +0900] "GET /Lecture_Evaluation/userJoin.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:34:44 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [13/Nov/2019:15:34:44 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
